key,note,zh-TW,en,zh-TW 修改時間,en 修改時間,en 待更新?
nav.dashboard,,總覽,Overview,2026-06-13 08:22,2026-06-13 08:22,
nav.investments,,投資,Investments,2026-06-13 08:22,2026-06-13 08:22,
nav.cashflow,,記帳,Cash Flow,2026-06-13 08:22,2026-06-13 08:22,
nav.accounts,,帳戶,Accounts,2026-06-13 08:22,2026-06-13 08:22,
nav.goals,,目標,Goals,2026-06-13 08:22,2026-06-13 08:22,
nav.settings,,設定,Settings,2026-06-13 08:22,2026-06-13 08:22,
shell.searchPlaceholder,,搜尋...,Search...,2026-06-13 08:22,2026-06-13 08:22,
shell.searchShortcut,,K,K,2026-06-13 08:22,2026-06-13 08:22,
shell.hideAmounts,,隱藏金額,Hide Amounts,2026-06-13 08:22,2026-06-13 08:22,
shell.localFirst,,本地優先,Local-first,2026-06-13 08:22,2026-06-13 08:22,
shell.dataSavedLocally,,資料僅保存在此裝置上。,Data is saved on this device.,2026-06-13 08:22,2026-06-13 08:22,
settings.title,,設定,Settings,2026-06-13 08:22,2026-06-13 08:22,
settings.categories,,分類,Categories,2026-06-13 08:22,2026-06-13 08:22,
settings.merchants,,商家,Merchants,2026-06-13 08:22,2026-06-13 08:22,
settings.fx,,匯率,Currencies,2026-06-13 08:22,2026-06-13 08:22,
settings.export,,匯出,Export,2026-06-13 08:22,2026-06-13 08:22,
settings.general,,一般與備份,General & Export,2026-06-13 08:22,2026-06-13 08:22,
settings.categoriesDesc,,每筆交易可歸入一個分類，並設定月預算上限。,Manage categories and monthly budgets.,2026-06-13 08:22,2026-06-13 08:22,
settings.addCategory,,新增分類,Add Category,2026-06-13 08:22,2026-06-13 08:22,
settings.newCategory,,新分類,New Category,2026-06-13 08:22,2026-06-13 08:22,
settings.spent,,已消費,Spent,2026-06-13 08:22,2026-06-13 08:22,
settings.budget,,預算,Budget,2026-06-13 08:22,2026-06-13 08:22,
settings.usage,,使用量,Usage,2026-06-13 08:22,2026-06-13 08:22,
settings.noLimit,,無上限,No limit,2026-06-13 08:22,2026-06-13 08:22,
settings.overBudget,,超支,Over Budget,2026-06-13 08:22,2026-06-13 08:22,
settings.subcategories,,子分類,Subcategories,2026-06-13 08:22,2026-06-13 08:22,
settings.merchantsDesc,,Northstar 會自動辨識商家名稱並套用分類。你可以在此修正或新增別名。,Manage merchant aliases and auto-categorization.,2026-06-13 08:22,2026-06-13 08:22,
settings.addMerchant,,新增商家,Add Merchant,2026-06-13 08:22,2026-06-13 08:22,
settings.merchantName,,商家,Merchant / Alias,2026-06-13 08:22,2026-06-13 08:22,
settings.merchantCategory,,分類,Category,2026-06-13 08:22,2026-06-13 08:22,
settings.merchantCount,,筆數,Count,2026-06-13 08:22,2026-06-13 08:22,
settings.merchantLast,,上次,Last Amt,2026-06-13 08:22,2026-06-13 08:22,
settings.fxDesc,,設定基準幣別與各外幣匯率來源。你可以覆蓋自動匯率，或為特定幣別設定提醒。,Configure base currency and FX rate sources.,2026-06-13 08:22,2026-06-13 08:22,
settings.baseCurrency,,基準幣別,Base Currency,2026-06-13 08:22,2026-06-13 08:22,
